X,Y,Z
-2706979.155584,4688761.814487,3360480.985715
-2706978.839584,4688762.130487,3360481.301715
-2706978.522584,4688762.447487,3360481.618714
-2706978.204584,4688762.765487,3360481.936713
-2706977.885584,4688763.084487,3360482.255713
-2706976.348748,4688763.199121,3360479.881318
-2706977.233630,4688763.723639,3360482.872457
-2706976.911630,4688764.045639,3360483.194456
-2706976.588630,4688764.368639,3360483.517456
-2706976.264631,4688764.692639,3360483.841455
-2706975.939631,4688765.017639,3360484.166454
-2706975.613631,4688765.343639,3360484.492454
-2706975.286631,4688765.670639,3360484.819453
-2706974.958631,4688765.998639,3360485.147452
-2706974.629631,4688766.327639,3360485.476452
-2706969.051037,4688773.016327,3360482.037289
-2706973.921359,4688767.045909,3360486.103503
-2706973.589359,4688767.377909,3360486.435502
-2706973.256359,4688767.710909,3360486.768502
-2706972.922359,4688768.044909,3360487.102501
-2706972.587359,4688768.379909,3360487.437500
-2706972.251360,4688768.715910,3360487.773500
-2706971.914360,4688769.052910,3360488.110499
-2706971.576360,4688769.390910,3360488.448498
-2706971.237360,4688769.729910,3360488.787498
-2706971.894443,4688768.739504,3360489.380856
-2706970.565344,4688770.398922,3360489.470779
-2706970.223344,4688770.740922,3360489.812778
-2706969.880344,4688771.083922,3360490.155778
-2706969.536344,4688771.427922,3360490.499777
-2706969.191344,4688771.772922,3360490.844776
-2706968.845345,4688772.118923,3360491.190776
-2706968.498345,4688772.465923,3360491.537775
-2706968.150345,4688772.813923,3360491.885774
-2706967.801345,4688773.162923,3360492.234774
-2706965.453855,4688770.219587,3360493.889621
-2706967.082340,4688773.834238,3360492.947534
-2706966.730341,4688774.186238,3360493.299533
-2706966.377341,4688774.539238,3360493.652532
-2706966.023341,4688774.893238,3360494.006531
-2706965.668341,4688775.248238,3360494.361531
-2706965.312341,4688775.604238,3360494.717530
-2706964.955341,4688775.961238,3360495.074529
-2706964.597341,4688776.319238,3360495.432529
-2706964.238341,4688776.678238,3360495.791528
-2706958.303217,4688776.260379,3360498.913849
-2706963.467075,4688777.392225,3360496.537432
-2706963.105075,4688777.754225,3360496.899431
-2706962.742075,4688778.117225,3360497.262431
-2706962.378075,4688778.481225,3360497.626430
-2706962.013075,4688778.846226,3360497.991429
-2706961.647076,4688779.212226,3360498.357429
-2706961.280076,4688779.579226,3360498.724428
-2706960.912076,4688779.947226,3360499.092427
-2706960.543076,4688780.316226,3360499.461426
-2706964.402070,4688779.642162,3360500.217825
-2706959.840214,4688781.047810,3360500.205910
-2706959.468215,4688781.419810,3360500.577909
-2706959.095215,4688781.792810,3360500.950908
-2706958.721215,4688782.166810,3360501.324907
-2706958.346215,4688782.541811,3360501.699907
-2706957.970215,4688782.917811,3360502.075906
-2706957.593215,4688783.294811,3360502.452905
-2706957.215215,4688783.672811,3360502.830904
-2706956.836215,4688784.051811,3360503.209904
-2706957.574179,4688783.773537,3360497.580858
-2706956.085300,4688784.806873,3360503.916700
-2706955.703300,4688785.188873,3360504.298700
-2706955.320300,4688785.571874,3360504.681699
-2706954.936300,4688785.955874,3360505.065698
-2706954.551300,4688786.340874,3360505.450697
-2706954.165300,4688786.726874,3360505.836697
-2706953.778300,4688787.113874,3360506.223696
-2706953.390300,4688787.501874,3360506.611695
-2706953.001301,4688787.890874,3360507.000694
-2706956.310048,4688790.173821,3360510.262791
-2706952.253669,4688788.688951,3360507.807603
-2706951.861669,4688789.080951,3360508.199603
-2706951.468669,4688789.473951,3360508.592602
-2706951.074669,4688789.867952,3360508.986601
-2706950.679669,4688790.262952,3360509.381600
-2706950.283670,4688790.658952,3360509.777599
-2706949.886670,4688791.055952,3360510.174599
-2706949.488670,4688791.453952,3360510.572598
-2706949.089670,4688791.852952,3360510.971597
-2706952.408883,4688786.808821,3360508.676017
-2706948.322227,4688792.604832,3360511.748274
-2706947.920227,4688793.006832,3360512.150274
-2706947.517228,4688793.409832,3360512.553273
-2706947.113228,4688793.813832,3360512.957272
-2706946.708228,4688794.218832,3360513.362271
-2706946.302228,4688794.624832,3360513.768270
-2706945.895228,4688795.031832,3360514.175270
-2706945.487228,4688795.439833,3360514.583269
-2706945.078228,4688795.848833,3360514.992268
-2706942.777987,4688791.329852,3360507.954619
-2706944.240172,4688796.625356,3360515.746062
-2706943.828172,4688797.037356,3360516.158062
-2706943.415172,4688797.450356,3360516.571061
-2706943.001172,4688797.864356,3360516.985060
-2706942.586172,4688798.279356,3360517.400059
-2706942.170173,4688798.695356,3360517.816058
-2706941.753173,4688799.112356,3360518.233058
-2706941.335173,4688799.530357,3360518.651057
-2706940.916173,4688799.949357,3360519.070056
-2706938.297812,4688795.896162,3360514.060506
-2706940.055335,4688800.749989,3360519.862056
-2706939.633335,4688801.171989,3360520.284056
-2706939.210335,4688801.594989,3360520.707055
-2706938.786335,4688802.018990,3360521.131054
-2706938.361335,4688802.443990,3360521.556053
-2706937.935335,4688802.869990,3360521.982052
-2706937.508335,4688803.296990,3360522.409051
-2706937.080336,4688803.724990,3360522.837051
-2706936.651336,4688804.153990,3360523.266050
-2706940.018103,4688808.840629,3360531.964348
-2706935.824602,4688805.053406,3360524.201669
-2706935.392602,4688805.485406,3360524.633668
-2706934.959602,4688805.918406,3360525.066668
-2706934.525602,4688806.352407,3360525.500667
-2706934.090602,4688806.787407,3360525.935666
-2706933.654603,4688807.223407,3360526.371665
-2706933.217603,4688807.660407,3360526.808664
-2706932.779603,4688808.098407,3360527.246663
-2706932.340603,4688808.537407,3360527.685663
-2706935.851348,4688809.965172,3360528.612966
-2706931.495261,4688809.427322,3360528.571059
-2706931.053261,4688809.869322,3360529.013058
-2706930.610261,4688810.312323,3360529.456057
-2706930.166261,4688810.756323,3360529.900057
-2706929.721261,4688811.201323,3360530.345056
-2706929.275261,4688811.647323,3360530.791055
-2706928.828262,4688812.094323,3360531.238054
-2706928.380262,4688812.542323,3360531.686053
-2706927.931262,4688812.991323,3360532.135052
-2706925.942762,4688813.495646,3360538.705807
-2706927.016376,4688813.892814,3360533.091296
-2706926.564376,4688814.344814,3360533.543295
-2706926.111376,4688814.797814,3360533.996294
-2706925.657376,4688815.251814,3360534.450293
-2706925.202377,4688815.706814,3360534.905292
-2706924.746377,4688816.162814,3360535.361292
-2706924.289377,4688816.619814,3360535.818291
-2706923.831377,4688817.077815,3360536.276290
-2706923.372377,4688817.536815,3360536.735289
-2706926.079725,4688816.577389,3360543.059956
-2706922.479967,4688818.445003,3360537.709223
-2706922.017967,4688818.907003,3360538.171222
-2706921.554967,4688819.370003,3360538.634221
-2706921.090967,4688819.834003,3360539.098221
-2706920.625967,4688820.299003,3360539.563220
-2706920.159968,4688820.765003,3360540.029219
-2706919.692968,4688821.232003,3360540.496218
-2706919.224968,4688821.700004,3360540.964217
-2706918.755968,4688822.169004,3360541.433216
-2706921.888057,4688825.762767,3360542.530393
-2706917.847483,4688823.138201,3360542.379876
-2706917.375483,4688823.610201,3360542.851875
-2706916.902483,4688824.083201,3360543.324874
-2706916.428483,4688824.557201,3360543.798873
-2706915.953483,4688825.032201,3360544.273872
-2706915.477484,4688825.508201,3360544.749871
-2706915.000484,4688825.985201,3360545.226870
-2706914.522484,4688826.463201,3360545.704869
-2706914.043484,4688826.942202,3360546.183868
-2706919.140063,4688823.549660,3360543.588213
-2706913.132823,4688827.868245,3360547.117103
-2706912.650823,4688828.350245,3360547.599102
-2706912.167823,4688828.833246,3360548.082101
-2706911.683823,4688829.317246,3360548.566100
-2706911.198824,4688829.802246,3360549.051099
-2706910.712824,4688830.288246,3360549.537099
-2706910.225824,4688830.775246,3360550.024098
-2706909.737824,4688831.263246,3360550.512097
-2706909.248824,4688831.752246,3360551.001096
-2706909.249417,4688834.721502,3360550.087658
-2706908.272253,4688832.755627,3360551.969425
-2706907.780253,4688833.247627,3360552.461424
-2706907.287253,4688833.740627,3360552.954423
-2706906.793254,4688834.234627,3360553.448422
-2706906.298254,4688834.729627,3360553.943421
-2706905.802254,4688835.225627,3360554.439420
-2706905.305254,4688835.722627,3360554.936419
-2706904.807254,4688836.220627,3360555.434418
-2706904.308254,4688836.719627,3360555.933417
-2706901.927282,4688838.011780,3360552.025947
-2706903.290275,4688837.727778,3360556.894629
-2706902.788275,4688838.229779,3360557.396628
-2706902.285275,4688838.732779,3360557.899627
-2706901.781276,4688839.236779,3360558.403626
-2706901.276276,4688839.741779,3360558.908625
-2706900.770276,4688840.247779,3360559.414624
-2706900.263276,4688840.754779,3360559.921623
-2706899.755276,4688841.262779,3360560.429622
-2706899.246276,4688841.771779,3360560.938621
-2706895.681654,4688840.775349,3360567.294028
-2706898.197702,4688842.779181,3360562.012387
-2706897.685702,4688843.291181,3360562.524386
-2706897.172702,4688843.804181,3360563.037385
-2706896.658702,4688844.318181,3360563.551384
-2706896.143703,4688844.833181,3360564.066383
-2706895.627703,4688845.349181,3360564.582382
-2706895.110703,4688845.866181,3360565.099381
-2706894.592703,4688846.384181,3360565.617380
-2706894.073703,4688846.903181,3360566.136379
-2706899.056624,4688851.508255,3360568.740667
-2706893.082380,4688847.981059,3360567.196192
-2706892.560380,4688848.503059,3360567.718191
-2706892.037381,4688849.026059,3360568.241190
-2706891.513381,4688849.550059,3360568.765189
-2706890.988381,4688850.075059,3360569.290188
-2706890.462381,4688850.601060,3360569.816187
-2706889.935381,4688851.128060,3360570.343186
-2706889.407382,4688851.656060,3360570.871185
-2706888.878382,4688852.185060,3360571.400184
-2706887.744475,4688853.796613,3360574.484493
-2706887.811930,4688853.255824,3360572.484241
-2706887.279930,4688853.787824,3360573.016240
-2706886.746931,4688854.320824,3360573.549239
-2706886.212931,4688854.854824,3360574.083238
-2706885.677931,4688855.389824,3360574.618237
-2706885.141931,4688855.925824,3360575.154236
-2706884.604931,4688856.462824,3360575.691235
-2706884.066931,4688857.000824,3360576.229234
-2706883.527932,4688857.539825,3360576.768233
-2706878.037860,4688854.222742,3360576.070221
-2706882.402245,4688858.586005,3360577.838055
-2706881.860245,4688859.128005,3360578.380053
-2706881.317246,4688859.671005,3360578.923052
-2706880.773246,4688860.215005,3360579.467051
-2706880.228246,4688860.760005,3360580.012050
-2706879.682246,4688861.306005,3360580.558049
-2706879.135246,4688861.853006,3360581.105048
-2706878.587246,4688862.401006,3360581.653047
-2706878.038247,4688862.950006,3360582.202046
-2706876.747925,4688863.706631,3360580.156792
-2706876.930564,4688864.052871,3360583.279615
-2706876.378564,4688864.604871,3360583.831614
-2706875.825564,4688865.157871,3360584.384613
-2706875.271564,4688865.711872,3360584.938612
-2706874.716564,4688866.266872,3360585.493611
-2706874.160565,4688866.822872,3360586.049610
-2706873.603565,4688867.379872,3360586.606609
-2706873.045565,4688867.937872,3360587.164608
-2706872.486565,4688868.496872,3360587.723606
-2706866.334645,4688866.310468,3360584.566899
-2706871.315084,4688869.593079,3360588.811051
